symbol,name,type,region,
600941,中国移动,stock,sh,
600519,贵州茅台,stock,sh,
601398,工商银行,stock,sh,
601857,中国石油,stock,sh,
601939,建设银行,stock,sh,
601288,农业银行,stock,sh,
600938,中国海油,stock,sh,
601988,中国银行,stock,sh,
601628,中国人寿,stock,sh,
600036,招商银行,stock,sh,
600028,中国石化,stock,sh,
601088,中国神华,stock,sh,
601318,中国平安,stock,sh,
600900,长江电力,stock,sh,
601728,中国电信,stock,sh,
601328,交通银行,stock,sh,
601658,邮储银行,stock,sh,
601138,工业富联,stock,sh,
601899,紫金矿业,stock,sh,
688981,中芯国际,stock,sh,
601166,兴业银行,stock,sh,
600809,山西汾酒,stock,sh,
601998,中信银行,stock,sh,
600276,恒瑞医药,stock,sh,
600030,中信证券,stock,sh,
600309,万华化学,stock,sh,
601816,京沪高铁,stock,sh,
600690,海尔智家,stock,sh,
601225,陕西煤业,stock,sh,
601319,中国人保,stock,sh,
601601,中国太保,stock,sh,
603288,海天味业,stock,sh,
601668,中国建筑,stock,sh,
600000,浦发银行,stock,sh,
601633,长城汽车,stock,sh,
601766,中国中车,stock,sh,
600406,国电南瑞,stock,sh,
688041,海光信息,stock,sh,
601818,光大银行,stock,sh,
601888,中国中免,stock,sh,
600887,伊利股份,stock,sh,
603993,洛阳钼业,stock,sh,
601390,中国中铁,stock,sh,
600188,兖矿能源,stock,sh,
688235,百济神州,stock,sh,
600104,上汽集团,stock,sh,
600016,民生银行,stock,sh,
601066,中信建投,stock,sh,
600025,华能水电,stock,sh,
601985,中国核电,stock,sh,
600150,中国船舶,stock,sh,
601919,中远海控,stock,sh,
601995,中金公司,stock,sh,
601012,隆基绿能,stock,sh,
600050,中国联通,stock,sh,
601898,中煤能源,stock,sh,
600019,宝钢股份,stock,sh,
600919,江苏银行,stock,sh,
601800,中国交建,stock,sh,
600011,华能国际,stock,sh,
600436,片仔癀,stock,sh,
688111,金山办公,stock,sh,
603259,药明康德,stock,sh,
601127,赛力斯,stock,sh,
688036,传音控股,stock,sh,
600905,三峡能源,stock,sh,
601881,中国银河,stock,sh,
600547,山东黄金,stock,sh,
601688,华泰证券,stock,sh,
600031,三一重工,stock,sh,
600018,上港集团,stock,sh,
601111,中国国航,stock,sh,
601211,国泰君安,stock,sh,
601600,中国铝业,stock,sh,
600989,宝丰能源,stock,sh,
600999,招商证券,stock,sh,
603501,韦尔股份,stock,sh,
601006,大秦铁路,stock,sh,
601169,北京银行,stock,sh,
600585,海螺水泥,stock,sh,
601186,中国铁建,stock,sh,
600660,福耀玻璃,stock,sh,
600837,海通证券,stock,sh,
600438,通威股份,stock,sh,
600600,青岛啤酒,stock,sh,
600886,国投电力,stock,sh,
600048,保利发展,stock,sh,
601989,中国重工,stock,sh,
688271,联影医疗,stock,sh,
600015,华夏银行,stock,sh,
600029,南方航空,stock,sh,
600346,恒力石化,stock,sh,
600760,中航沈飞,stock,sh,
601229,上海银行,stock,sh,
601336,新华保险,stock,sh,
601009,南京银行,stock,sh,
688012,中微公司,stock,sh,
601238,广汽集团,stock,sh,
601808,中海油服,stock,sh,
603195,公牛集团,stock,sh,
600009,上海机场,stock,sh,
601868,中国能建,stock,sh,
600893,航发动力,stock,sh,
600845,宝信软件,stock,sh,
600795,国电电力,stock,sh,
600023,浙能电力,stock,sh,
601669,中国电建,stock,sh,
603392,万泰生物,stock,sh,
688223,晶科能源,stock,sh,
600115,中国东航,stock,sh,
601916,浙商银行,stock,sh,
600362,江西铜业,stock,sh,
600674,川投能源,stock,sh,
600026,中远海能,stock,sh,
600089,特变电工,stock,sh,
601788,光大证券,stock,sh,
605499,东鹏饮料,stock,sh,
603369,今世缘,stock,sh,
601689,拓普集团,stock,sh,
600010,包钢股份,stock,sh,
688256,寒武纪,stock,sh,
600111,北方稀土,stock,sh,
603019,中科曙光,stock,sh,
601100,恒立液压,stock,sh,
600958,东方证券,stock,sh,
601865,福莱特,stock,sh,
601618,中国中冶,stock,sh,
600027,华电国际,stock,sh,
688187,时代电气,stock,sh,
601901,方正证券,stock,sh,
600039,四川路桥,stock,sh,
601698,中国卫通,stock,sh,
601018,宁波港,stock,sh,
601727,上海电气,stock,sh,
600926,杭州银行,stock,sh,
601825,沪农商行,stock,sh,
601607,上海医药,stock,sh,
601872,招商轮船,stock,sh,
600489,中金黄金,stock,sh,
601360,三六零,stock,sh,
600160,巨化股份,stock,sh,
600196,复星医药,stock,sh,
600703,三安光电,stock,sh,
601699,潞安环能,stock,sh,
600221,海航控股,stock,sh,
603260,合盛硅业,stock,sh,
688009,中国通号,stock,sh,
600803,新奥股份,stock,sh,
688303,大全能源,stock,sh,
600372,中航机载,stock,sh,
600085,同仁堂,stock,sh,
600426,华鲁恒升,stock,sh,
600377,宁沪高速,stock,sh,
601021,春秋航空,stock,sh,
603296,华勤技术,stock,sh,
600741,华域汽车,stock,sh,
603198,迎驾贡酒,stock,sh,
600233,圆通速递,stock,sh,
688347,华虹公司,stock,sh,
601991,大唐发电,stock,sh,
603806,福斯特,stock,sh,
688599,天合光能,stock,sh,
601136,首创证券,stock,sh,
601077,渝农商行,stock,sh,
601838,成都银行,stock,sh,
688396,华润微,stock,sh,
688008,澜起科技,stock,sh,
603799,华友钴业,stock,sh,
600584,长电科技,stock,sh,
601058,赛轮轮胎,stock,sh,
601059,信达证券,stock,sh,
600875,东方电气,stock,sh,
603986,兆易创新,stock,sh,
688506,百利天恒,stock,sh,
600415,小商品城,stock,sh,
600522,中天科技,stock,sh,
600256,广汇能源,stock,sh,
601377,兴业证券,stock,sh,
600332,白云山,stock,sh,
601298,青岛港,stock,sh,
688472,阿特斯,stock,sh,
600918,中泰证券,stock,sh,
600066,宇通客车,stock,sh,
600745,闻泰科技,stock,sh,
600236,桂冠电力,stock,sh,
601598,中国外运,stock,sh,
601168,西部矿业,stock,sh,
688728,格科微,stock,sh,
600733,北汽蓝谷,stock,sh,
600482,中国动力,stock,sh,
688169,石头科技,stock,sh,
600176,中国巨石,stock,sh,
600161,天坛生物,stock,sh,
600570,恒生电子,stock,sh,
600612,老凤祥,stock,sh,
601877,正泰电器,stock,sh,
600588,用友网络,stock,sh,
600985,淮北矿业,stock,sh,
601878,浙商证券,stock,sh,
603659,璞泰来,stock,sh,
605117,德业股份,stock,sh,
