symbol,name,type,region,
700,騰訊控股,stock,hk,
9988,阿里巴巴-W,stock,hk,
1398,工商銀行,stock,hk,
857,中國石油股份,stock,hk,
941,中國移動,stock,hk,
1288,農業銀行,stock,hk,
5,滙豐控股,stock,hk,
939,建設銀行,stock,hk,
3988,中國銀行,stock,hk,
2318,中國平安,stock,hk,
2628,中國人壽,stock,hk,
3968,招商銀行,stock,hk,
1211,比亞迪股份,stock,hk,
386,中國石油化工股份,stock,hk,
3690,美團-W,stock,hk,
1299,友邦保險,stock,hk,
883,中國海洋石油,stock,hk,
1088,中國神華,stock,hk,
728,中國電信,stock,hk,
9999,網易-S,stock,hk,
9633,農夫山泉,stock,hk,
3328,交通銀行,stock,hk,
9618,京東集團-SW,stock,hk,
388,香港交易所,stock,hk,
2899,紫金礦業,stock,hk,
6030,中信証券,stock,hk,
2015,理想汽車-W,stock,hk,
1810,小米集團-W,stock,hk,
1024,快手-W,stock,hk,
2601,中國太保,stock,hk,
998,中信銀行,stock,hk,
945,宏利金融-S,stock,hk,
1339,中國人民保險集團,stock,hk,
2359,藥明康德,stock,hk,
2020,安踏體育,stock,hk,
1880,中國中免,stock,hk,
6690,海爾智家,stock,hk,
2378,保誠,stock,hk,
16,新鴻基地產,stock,hk,
1109,華潤置地,stock,hk,
2388,中銀香港,stock,hk,
981,中芯國際,stock,hk,
27,銀河娛樂,stock,hk,
1876,百威亞太,stock,hk,
2328,中國財險,stock,hk,
267,中信股份,stock,hk,
1928,金沙中國有限公司,stock,hk,
2333,長城汽車,stock,hk,
2888,渣打集團,stock,hk,
66,港鐵公司,stock,hk,
6066,中信建投証券,stock,hk,
6818,中國光大銀行,stock,hk,
9987,百勝中國,stock,hk,
11,恒生銀行,stock,hk,
2269,藥明生物,stock,hk,
688,中國海外發展,stock,hk,
762,中國聯通,stock,hk,
1766,中國中車,stock,hk,
763,中興通訊,stock,hk,
390,中國中鐵,stock,hk,
1988,民生銀行,stock,hk,
1919,中遠海控,stock,hk,
2423,貝殼-W,stock,hk,
6160,百濟神州,stock,hk,
2202,萬科企業,stock,hk,
1,長和,stock,hk,
1816,中廣核電力,stock,hk,
2057,中通快遞-W,stock,hk,
6886,HTSC,stock,hk,
3908,中金公司,stock,hk,
2,中電控股,stock,hk,
669,創科實業,stock,hk,
1171,兗礦能源,stock,hk,
1113,長實集團,stock,hk,
914,海螺水泥,stock,hk,
291,華潤啤酒,stock,hk,
3993,洛陽鉬業,stock,hk,
2611,國泰海通,stock,hk,
1800,中國交通建設,stock,hk,
6618,京東健康,stock,hk,
788,中國鐵塔,stock,hk,
753,中國國航,stock,hk,
6099,招商證券,stock,hk,
1186,中國鐵建,stock,hk,
1913,普拉達,stock,hk,
9868,小鵬汽車-W,stock,hk,
1776,廣發証券,stock,hk,
6862,海底撈,stock,hk,
902,華能國際電力股份,stock,hk,
9866,蔚來-SW,stock,hk,
1929,周大福,stock,hk,
1787,山東黃金,stock,hk,
2338,濰柴動力,stock,hk,
1898,中煤能源,stock,hk,
168,青島啤酒股份,stock,hk,
1055,中國南方航空股份,stock,hk,
2313,申洲國際,stock,hk,
1336,新華保險,stock,hk,
